#{"t_start": 1783431857.098685, "env_id": "None"}
r,l,t
-552.904328,1000,2074.127978
-513.474501,1000,2078.570301
-439.694485,1000,2082.772268
-477.973335,1000,2087.007279
-723.500136,1000,2091.801967
-755.96588,1000,2096.616196
-788.390418,1000,2101.452939
-516.831357,1000,2107.745974
-773.539661,1000,2112.250004
-431.705686,1000,2116.72144
-774.325856,1000,2121.978064
-758.116346,1000,2126.529908
-478.692674,1000,2131.058318
-458.787636,1000,2135.589624
-633.103668,1000,2139.86799
-451.164513,1000,2144.417766
-359.220314,1000,2148.961932
-443.646273,1000,2153.234704
-464.227882,1000,2157.582888
-426.575572,1000,2161.845504
-594.526853,1000,2166.214008
-480.358698,1000,2170.667712
-401.260159,1000,2174.955014
-391.510654,1000,2179.370145
-769.979819,1000,2183.670568
-636.314831,1000,2187.929084
-651.51638,1000,2192.137041
-544.078411,1000,2196.624511
-550.717273,1000,2200.877773
-745.688819,1000,2205.076363
-714.999237,1000,2209.17291
-679.316304,1000,2213.291687
-938.632981,1000,2217.862939
-428.156611,1000,2222.038553
-726.230442,1000,2226.534323
-612.20489,1000,2230.976608
-437.728908,1000,2235.256538
-320.155367,1000,2239.796318
-793.703551,1000,2244.471116
-786.685981,1000,2249.115263
-383.285604,1000,2253.620405
-716.680767,1000,2258.041982
-494.993805,1000,2262.465785
-655.827064,1000,2266.995901
-417.094994,1000,2271.434096
-920.690642,1000,2275.842903
-1044.398272,1000,2280.134582
-555.351202,1000,2284.525475
-825.948537,1000,2289.223558
-333.024852,1000,2293.613218
-616.050161,1000,2297.967732
-720.951299,1000,2302.317816
-325.317771,1000,2306.714971
-510.968557,1000,2311.084883
-730.328577,1000,2315.627117
-489.172376,1000,2320.066916
-478.980294,1000,2324.292153
-793.772944,1000,2328.508885
-606.018719,1000,2332.860402
-485.779688,1000,2337.116345
-370.298804,1000,2341.36268
-614.662502,1000,2345.780173
-405.842438,1000,2350.291215
-477.340196,1000,2354.671633
-309.542027,1000,2358.942246
-399.10222,1000,2363.251626
-257.028977,1000,2367.594093
-649.664077,1000,2371.94808
-459.244658,1000,2376.511686
-487.785836,1000,2380.949846
-781.888812,1000,2385.213985
-430.849632,1000,2389.81276
-353.782539,1000,2394.281565
-386.690144,1000,2398.813733
-459.481604,1000,2403.363601
-519.550964,1000,2408.048753
-623.938964,1000,2412.836073
-384.796639,1000,2417.308952
-657.853543,1000,2421.588038
-608.782665,1000,2425.88826
-285.287594,1000,2437.803119
-522.596163,1000,2445.70796
-592.724836,1000,2453.392296
-710.937523,1000,2458.616934
-577.859293,1000,2463.953227
-789.591874,1000,2468.60299
-247.621271,1000,2473.472159
-207.724055,1000,2478.028027
-430.849759,1000,2482.617518
-411.813145,1000,2487.063635
-677.849998,1000,2491.41954
-490.16453,1000,2496.211822
-493.377755,1000,2501.153193
-403.377586,1000,2506.142328
-263.802971,1000,2510.967531
-526.421943,1000,2516.352338
-409.888316,1000,2521.026413
-439.734668,1000,2525.509046
-568.270009,1000,2530.604846
-262.347609,1000,2535.325359
-446.900374,1000,2539.819069
-658.312485,1000,2544.193037
-521.565959,1000,2548.505161
-638.624624,1000,2552.785478
-234.388019,1000,2557.169175
-621.697422,1000,2561.579838
-176.057145,1000,2566.02141
-828.205616,1000,2570.260043
-452.560173,1000,2574.656032
-593.29928,1000,2579.16518
-734.785317,1000,2583.655236
-216.999337,1000,2588.263828
-534.022478,1000,2592.689459
-171.442799,1000,2597.299135
-413.930685,1000,2601.780921
-212.630012,1000,2606.322291
-542.482739,1000,2610.929812
-153.830749,1000,2615.607764
-133.674138,1000,2620.402691
-684.455083,1000,2625.762753
-799.980675,1000,2630.464506
-174.324167,1000,2634.66528
-218.655301,1000,2638.791291
