#{"t_start": 1783397271.139304, "env_id": "None"}
r,l,t
-1758.440322,481,112.190799
-2385.458881,502,112.266785
-1570.592689,325,112.635867
-1927.195291,414,112.698043
-1555.256007,341,112.749277
-1620.472219,474,112.820619
-1500.63581,374,112.876409
-2045.39921,433,113.354323
-2203.378755,519,113.428789
-1657.811916,368,113.478646
-1624.799884,382,113.5314
-2437.047077,440,113.591098
-1720.254224,377,113.957687
-2032.369591,406,114.016376
-2758.142629,470,114.082809
-2227.732114,429,114.18222
-2271.749968,462,114.24936
-3148.973074,401,114.635821
-2198.081061,476,114.70668
-1686.974106,415,114.768174
-2169.027517,328,114.817825
-2214.144416,459,115.197679
-2231.999362,439,115.263203
-1588.064087,388,115.321104
-2414.724557,355,115.3739
-2328.416328,359,115.427454
-1565.999047,353,115.48018
-2359.364552,385,115.849864
-1696.449471,517,115.926893
-2087.91601,517,116.003374
-1539.491722,328,116.052434
-2519.477019,461,116.432281
-1806.196571,521,116.510473
-1926.300092,408,116.570303
-1929.425396,358,116.623818
-1885.940749,547,116.705618
-2406.648475,462,117.086475
-2284.282909,450,117.153834
-1503.728762,359,117.206986
-2436.982643,467,117.27501
-2231.073829,499,117.660428
-1985.583753,527,117.740189
-2114.111335,458,117.809
-2131.203633,548,117.890964
-1960.04769,451,117.958012
-2495.812472,497,118.342923
-2120.475164,659,118.439705
-1994.70483,547,118.521651
-1729.254823,361,118.575661
-2138.161115,708,118.99369
-2408.911337,558,119.077107
-1742.127716,382,119.134313
-2181.584064,519,119.52151
-2246.217587,491,119.591546
-3951.866652,679,119.692071
-2829.208325,389,119.749994
-3038.94258,476,120.132484
-2780.560467,543,120.213565
-2472.308535,484,120.286
-2278.20532,576,120.372305
-2274.402797,726,120.793992
-2146.131776,523,120.872178
-2357.952372,502,120.947727
-1918.075349,472,121.018445
-2938.797087,450,121.397079
-2045.534113,546,121.472256
-2076.631174,533,121.545636
-1451.453927,1000,121.998033
-4769.455591,588,122.086067
-4047.667207,447,122.153011
-1888.378252,537,122.2335
-1881.93137,739,122.657421
-1732.715888,382,122.715054
-2294.047568,496,122.787708
-2769.296394,618,122.879224
-1758.292302,374,123.248082
-3237.325487,648,123.345422
-2247.278682,550,123.426774
-2031.728207,459,123.494962
-1959.049668,380,123.920536
-1628.295272,556,124.004339
-2598.186295,487,124.076886
-2790.473283,578,124.162163
-2411.283715,487,124.546754
-3925.000144,626,124.639867
-2103.702983,383,124.697105
-2408.934972,501,124.772631
-1980.200177,526,125.162819
-2206.146744,552,125.244494
-1910.822386,620,125.336777
-1944.679021,661,125.747552
-2537.547361,507,125.824013
-1985.803751,483,125.896284
-1675.006597,617,125.986732
-2224.102145,583,126.38376
-2000.076731,692,126.487229
-2622.701687,633,126.581846
-2264.222681,499,126.967957
-2640.927012,638,127.064171
-2723.069208,525,127.142638
-2480.812706,752,127.254944
-4536.068221,883,127.705902
-2651.016426,748,127.816617
-4263.177878,1000,128.278727
-3557.597783,1000,128.427816
-2430.547015,681,128.839699
-4645.412209,788,128.95698
-2366.789639,540,129.038801
-4162.067925,651,129.447521
-1831.366066,398,129.507991
-2993.973568,710,129.614546
-2182.573289,673,129.714102
-3254.647896,575,130.116358
-2611.554299,682,130.217738
-3608.705722,713,130.323938
